id,cn_name,en_name,cover,categories,region,duration,release_date,score
89,教父2,The Godfather: Part Ⅱ,https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@464w_644h_1e_1c,剧情、犯罪,美国,202 分钟,1974-12-12,9.0
90,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@464w_644h_1e_1c,动作、奇幻、冒险,美国,143 分钟,2003-11-21,9.0
91,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c,奇幻、冒险,美国、英国,152 分钟,2002-01-26,9.0
92,指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@464w_644h_1e_1c,剧情、动作、奇幻、冒险,美国、新西兰,201 分钟,2004-03-15,9.0
93,黑客帝国,The Matrix,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,动作、科幻,美国、澳大利亚,136 分钟,2000-01-14,9.0
94,剪刀手爱德华,Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,剧情、爱情、奇幻,美国,105 分钟,1990-12-06,9.0
95,春光乍泄,Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,剧情、爱情,中国香港、日本、韩国,96 分钟,1997-05-17,9.0
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,动画、奇幻,中国大陆,114 分钟,1965-12-31,9.0
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,动画、奇幻、冒险,日本,125 分钟,1992-05-01,9.0
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,剧情、爱情、歌舞、传记,美国,174 分钟,1965-03-02,9.0
99,辛德勒的名单,Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,剧情、历史、战争,美国,195 分钟,1993-11-30,9.5
100,魂断蓝桥,Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,剧情、爱情、战争,美国,108 分钟,1940-05-17,9.5
